component,category,variants,states,accessibility_requirements,common_props,atomic_level,complexity,frameworks,best_practices
Button,Action,primary secondary outline ghost destructive link icon-only,default hover active focus disabled loading,aria-label for icon-only; role=button for non-button elements; visible focus ring,size variant disabled loading leftIcon rightIcon onClick,atom,low,All frameworks,Min 44px touch target; never disable without explanation; loading state replaces text
TextInput,Form,text password email number search tel url,default focus filled error disabled readonly,aria-label or associated label; aria-describedby for hints; aria-invalid on error,value onChange placeholder label error helperText required disabled,atom,low,All frameworks,Always pair with visible label; show error below not tooltip; use inputmode for mobile keyboards
Select,Form,single multi searchable creatable grouped,default open focused error disabled,aria-expanded; aria-activedescendant; keyboard arrow navigation; role=listbox,options value onChange placeholder label multi searchable,molecule,medium,All frameworks,Searchable for 7+ options; group related items; show selected count for multi
Checkbox,Form,single indeterminate group switch,unchecked checked indeterminate disabled focus,role=checkbox; aria-checked including mixed state; keyboard space toggle,checked onChange label disabled indeterminate,atom,low,All frameworks,Use fieldset+legend for groups; indeterminate only for parent-child; label always clickable
RadioGroup,Form,horizontal vertical card-select,unchecked checked disabled focus,role=radiogroup; aria-checked; keyboard arrows cycle options; fieldset+legend,options value onChange name label,molecule,low,All frameworks,3-7 options max; use select for more; card variant for rich options
Textarea,Form,plain auto-resize with-counter rich,default focus filled error disabled,same as TextInput; aria-multiline=true; character count announced,value onChange placeholder label rows maxLength autoResize,atom,low,All frameworks,Show character count for limited fields; auto-resize preferred over scrollbar
Toggle,Form,default with-label with-icon,on off disabled focus,role=switch; aria-checked; label describes current state not action,checked onChange label disabled size,atom,low,All frameworks,Label should describe state; instant effect no save button needed; use checkbox for forms
DatePicker,Form,single range month year datetime,default open selected error disabled,keyboard navigation in calendar grid; aria-label for days; announce month changes,value onChange minDate maxDate format locale,organism,high,React Tailwind Vue,Fallback to native input on mobile; ISO format internally; locale-aware display
Card,Content,basic interactive hoverable media profile pricing,default hover active focus,role=article or region; if clickable entire card is one tab stop; heading hierarchy,title description media actions footer variant elevation,molecule,medium,All frameworks,Single primary action; image alt text required; consistent aspect ratios across grid
Modal,Overlay,dialog alert drawer bottom-sheet fullscreen,open closed entering exiting,role=dialog; aria-modal=true; focus trap; return focus on close; Escape to close,isOpen onClose title children size closeOnOverlay,organism,high,All frameworks,Trap focus inside; announce title on open; no nested modals; always provide close method
Toast,Feedback,info success warning error loading,entering visible exiting,role=status or alert; aria-live polite or assertive; auto-dismiss configurable,message type duration action onClose position,molecule,medium,All frameworks,Max 3 visible; action optional; auto-dismiss 5s default; error stays until dismissed
Tooltip,Overlay,text rich interactive,hidden visible entering exiting,role=tooltip; aria-describedby; not for essential info; Escape to close,content trigger placement delay offset,atom,medium,All frameworks,Touch devices use long-press or skip; never put actions inside; max 150 chars
Tabs,Navigation,horizontal vertical pill underline,default active disabled,role=tablist; aria-selected; arrow keys switch; tab panel aria-labelledby,tabs activeTab onChange orientation,molecule,medium,All frameworks,Max 7 visible tabs; overflow with scroll or more menu; lazy load tab content
Breadcrumb,Navigation,text-only with-icons collapsible,default hover current,nav aria-label=Breadcrumb; current page aria-current=page; ol structure,items separator maxVisible,molecule,low,All frameworks,Always show current page; max 5 visible levels; mobile collapses to parent only
Pagination,Navigation,numbered simple load-more infinite cursor,default active disabled,aria-label=Pagination; current aria-current=page; clear prev/next labels,page totalPages onChange pageSize,molecule,medium,All frameworks,Show total count; 7 page buttons max with ellipsis; mobile uses prev/next only
Avatar,Content,image initials icon placeholder group,default loading error,alt text for images; aria-label for icon; group announces count,src name size fallback status,atom,low,All frameworks,Fallback to initials then icon; consistent circular shape; status dot for online state
Badge,Content,count dot status label,default pulse,aria-label announces count or status; decorative badges aria-hidden,count variant max label,atom,low,All frameworks,Max display 99+; dot for boolean state; animate only for new notifications
Accordion,Content,single multi flush bordered,collapsed expanded disabled,role=region; aria-expanded on trigger; aria-controls links to panel; Enter/Space toggle,items allowMultiple defaultExpanded,molecule,medium,All frameworks,Expand first item by default; icon indicates state; smooth height animation
Table,Data,basic sortable selectable virtual paginated,default hover selected sorted loading empty,role=table; column headers with scope; sortable columns announced; aria-sort,columns data sortable selectable pagination onRowClick,organism,high,All frameworks,Horizontal scroll on mobile; sticky header for long lists; empty state with CTA
DataGrid,Data,basic editable filterable grouped tree,default editing filtered grouped loading,grid role with proper row/col indexes; editable cells announce mode; keyboard navigation,columns data editable filters groupBy rowHeight,organism,very-high,React AG-Grid,Virtual scrolling for 1000+ rows; column resize; export functionality
Alert,Feedback,info success warning error,default dismissing,role=alert for important; role=status for info; aria-live; not auto-dismiss errors,type title description dismissible action icon,molecule,low,All frameworks,Icon reinforces meaning; never color-only differentiation; action in context
ProgressBar,Feedback,determinate indeterminate circular,loading complete error,role=progressbar; aria-valuenow aria-valuemin aria-valuemax; announce completion,value max label variant animated,atom,low,All frameworks,Show percentage for known progress; indeterminate for unknown; announce 25% 50% 75% 100%
Skeleton,Feedback,text circle rectangle card,loading,aria-busy=true on container; aria-label describes loading content,variant width height animation count,atom,low,All frameworks,Match target layout dimensions; pulse animation preferred; show within 300ms of load start
Navbar,Navigation,horizontal sticky transparent sidebar mobile-drawer,default scrolled mobile-open,nav landmark; skip-to-content link; mobile menu aria-expanded; keyboard navigable,logo links actions mobileBreakpoint sticky,organism,high,All frameworks,Skip-nav first focusable element; mobile hamburger with aria-label; max 7 primary items
Sidebar,Navigation,fixed collapsible mini overlay,expanded collapsed overlay,nav or complementary landmark; aria-label; toggle announces state,items collapsed width overlay breakpoint,organism,high,All frameworks,Persist collapsed state; tooltip on collapsed icons; overlay on mobile; keyboard navigable
Footer,Navigation,simple multi-column sticky newsletter,default,contentinfo landmark; nav for link groups; skip to footer optional,columns links socials copyright newsletter,organism,medium,All frameworks,Semantic HTML; link groups with headings; back-to-top for long pages
Dropdown,Overlay,simple nested context command,closed open-down open-up,role=menu; menuitem roles; keyboard arrow navigation; typeahead search,trigger items onSelect placement,molecule,medium,All frameworks,Max 10 visible items then scroll; dividers group related; keyboard shortcut hints
Stepper,Navigation,horizontal vertical with-content numbered,incomplete active complete error disabled,aria-current=step; each step aria-label with number and title; announce progress,steps currentStep onChange orientation allowClick,molecule,medium,All frameworks,Max 7 steps; show completed checkmark; error state blocks progression
SearchBar,Form,simple with-filters autocomplete command-palette,empty typing results loading no-results,role=combobox; aria-expanded; aria-activedescendant; announce result count,query onChange onSubmit suggestions filters placeholder,molecule,high,All frameworks,Debounce 300ms; show recent searches; keyboard shortcuts; highlight matching text
FileUpload,Form,click drag-drop multi preview,idle dragging uploading complete error,aria-label on drop zone; announce upload progress; error messages per file,accept maxSize multiple onUpload onRemove preview,molecule,high,All frameworks,Show file type restrictions; progress per file; preview images; retry on failure
