chart_type,best_for,data_requirements,max_categories,accessibility_approach,color_guidance,mobile_friendly,library_support,common_mistakes
bar,"Comparar valores entre categorias discretas; ranking; distribuição simples",Mínimo 2 categorias; 1+ valores numéricos por categoria; labels textuais,12 — acima disso agrupar em 'Outros' ou usar horizontal bar,Cada barra com label direto ou tooltip; padrões (hachuras) além de cor; aria-labels por segmento,"Cor única para comparação simples; cores distintas para categorias; paleta sequencial para ordenado; evitar mais de 6-7 cores",Sim — barras horizontais são melhores em mobile; labels legíveis; touch targets adequados,"Chart.js, D3.js, Recharts, Highcharts, ECharts, ApexCharts, Plotly","Barras 3D que distorcem proporções; não começar eixo Y em zero; cores demais; labels cortados; ordenação aleatória ao invés de por valor"
line,"Tendências ao longo do tempo; mudanças contínuas; correlação temporal; series comparativas",Eixo X temporal ou sequencial; 1+ series de valores; mínimo 5 pontos por série,5-7 linhas máximo (acima disso fica ilegível); usar highlight/filter interativo,Padrões de linha (sólida/tracejada/pontilhada) além de cor; pontos de dados marcados; labels por série,"Cor distinta por série; evitar vermelho/verde juntos; usar intensidade/hue diferente; cor de fundo neutra",Moderada — precisa de largura para eixo X; considerar sparkline para mobile; pontos tocáveis,"Chart.js, D3.js, Recharts, Highcharts, Plotly, ECharts, Victory","Interpolação que cria dados falsos; não mostrar escala; truncar eixo Y para exagerar tendência; linhas que se cruzam demais sem destaque"
pie,"Proporções de um todo; distribuição percentual simples; composição de 100%",Valores que somam 100%; mínimo 2 fatias; cada fatia com label,5-6 fatias máximo — acima disso usar donut ou bar chart; agrupar menores em 'Outros',Labels com percentual e nome diretamente nas fatias ou em legenda próxima; padrões de preenchimento,"Cores com hue distinto para cada fatia; evitar cores adjacentes similares; fatia de destaque pode ter cor accent; cinza para 'Outros'",Limitada — difícil interagir em tela pequena; considerar lista percentual ou horizontal stacked bar como alternativa,"Chart.js, D3.js, Recharts, Highcharts, ECharts, Plotly","Muitas fatias pequenas ilegíveis; 3D que distorce proporções; não somar 100%; fatias de 1-2% com label que não cabe; pizza explorada (fatia separada) sem motivo"
donut,"Mesmo que pie mas com centro livre para KPI ou label; visualmente mais moderno",Mesmos requisitos de pie; valor central opcional para KPI destacado,5-6 fatias (mesma limitação de pie),Mesmas regras de pie; centro pode ter valor principal em texto grande para leitores de tela,"Mesmas regras de pie; centro com cor neutra ou branca; ring com espessura de 30-40% do raio",Melhor que pie em mobile — centro pode mostrar valor principal; mais compacto,"Chart.js, D3.js, Recharts, Nivo, ApexCharts, ECharts","Anel muito fino (difícil ler proporções); centro com informação competindo com fatias; mesmos erros de pie chart; múltiplos donuts difíceis de comparar"
scatter,"Correlação entre duas variáveis; distribuição bidimensional; outlier detection; clusters",2 variáveis numéricas por ponto; opcional 3a variável como tamanho do ponto (bubble); N pontos,Sem limite rígido mas 500+ pontos precisa de density plot ou sampling; clusters com cor,Labels nos outliers e pontos de interesse; tamanho de ponto mínimo 8px; tooltip com valores,"Cor por grupo/cluster; opacidade 60-70% para ver sobreposição; destaque em outliers; fundo neutro",Limitada — pontos muito pequenos e próximos; considerar summary statistics ou binned heatmap,"D3.js, Plotly, Highcharts, ECharts, Chart.js (com plugin), Vega-Lite","Não incluir linha de tendência quando correlação é o ponto; overplotting sem transparência; escalas não proporcionais; eixos sem label; interpretar correlação como causação"
area,"Tendências com ênfase em volume ou magnitude; composição ao longo do tempo (stacked area)",Eixo X temporal/sequencial; 1+ séries; para stacked os valores devem ser comparáveis,3-5 séries para stacked — senão fica confuso; single area sem limite,Padrões de preenchimento diferentes por área; labels diretos; tooltip com breakdown,"Opacidade 40-60% para área preenchida; cores com contraste entre séries adjacentes; cor mais escura na base para stacked",Moderada — funciona se séries são poucas; sparkline area para dashboards mobile,"Chart.js, Recharts, D3.js, Highcharts, ECharts, ApexCharts","Stacked area que esconde séries menores; áreas com 100% opacidade que cobrem umas às outras; eixo Y não começando em zero para stacked; interpolação enganosa"
heatmap,"Densidade e padrões em dados matriciais; correlação; hora do dia vs dia da semana; distribuição geográfica",Matriz 2D com valor numérico por célula; categorias nos dois eixos; valores normalizados para cor,50x50 máximo por visualização interativa; pode ser maior com zoom,Texto do valor dentro de cada célula quando legível; não depender apenas de cor; tooltip obrigatório,"Paleta sequencial (claro→escuro) para valores positivos; divergente (azul→branco→vermelho) para negativo/positivo; paleta colorblind-safe","Limitada — células ficam minúsculas; considerar top-N ou filtro; tooltip touch-friendly","D3.js, Plotly, ECharts, Highcharts, Nivo, ApexCharts","Escala de cor não intuitiva; sem legenda de cor; células tão pequenas que texto é ilegível; não ordenar eixos logicamente; paleta RGB rainbow (não perceptualmente uniforme)"
treemap,"Hierarquia com proporção de tamanho; composição de orçamento; uso de disco; market cap",Dados hierárquicos (parent → child); valor numérico para tamanho; opcional segundo valor para cor,"20-30 retângulos legíveis por nível; drill-down para hierarquias profundas",Label de texto em cada retângulo; cor não essencial para compreensão; tooltip com path completo,"Cor por categoria principal; variação de luminosidade por nível; labels pretas ou brancas dependendo do fundo",Limitada — retângulos ficam muito pequenos; usar versão simplificada ou lista ordenada em mobile,"D3.js, ECharts, Highcharts, Plotly, Nivo, AnyChart","Retângulos tão pequenos que label não cabe; sem drill-down em hierarquias profundas; cores que não ajudam na compreensão; comparação difícil entre retângulos não adjacentes"
funnel,"Conversão em etapas sequenciais; sales pipeline; user journey drop-off; processo de filtro",Valores decrescentes por etapa; labels por etapa; percentual de conversão entre etapas,"5-8 etapas máximo; acima disso agrupar ou usar horizontal bar com percentuais",Label com nome da etapa + valor + percentual de conversão; não depender de largura visual apenas,"Degradê de uma cor (escuro no topo → claro na base); ou cor distinta por etapa; vermelho para drop-off highlight",Moderada — funciona bem vertical em mobile; labels precisam ser legíveis,"D3.js, ECharts, Highcharts, ApexCharts, Plotly, custom SVG","Proporções que não refletem valores reais; não mostrar taxa de conversão entre etapas; etapas demais; funnel invertido confuso; não indicar onde está o problema principal"
gauge,"KPI único com contexto de meta; velocímetro; progresso; score; saúde do sistema",Valor atual; valor mínimo e máximo; meta/threshold opcional; unidade,1 valor por gauge; dashboard pode ter múltiplos gauges lado a lado,"Valor numérico grande e legível; zona de cor com label (bom/médio/ruim); aria-label com valor e contexto","Verde/amarelo/vermelho para status; ou paleta brand; zona ativa com cor saturada; zona inativa com cinza claro",Boa — compacto; funciona bem em cards de dashboard; valor central legível,"ECharts, Highcharts, D3.js, ApexCharts, custom SVG","Escala confusa; zonas de cor sem label; agulha/ponteiro difícil de ler; gauge sem contexto de meta; múltiplos gauges com escalas diferentes lado a lado"
radar,"Perfil multidimensional; skill assessment; comparação de produtos em múltiplas métricas; forças e fraquezas",3+ eixos com valores numéricos na mesma escala ou normalizados; 1-3 séries para comparação,5-8 eixos (abaixo de 5 usar bar chart; acima de 8 fica ilegível),Valores numéricos em cada eixo; tooltip por ponto; não depender apenas de forma para compreensão,"Preenchimento com 30% opacidade por série; contorno 2px; cores distintas por série; grid com linhas sutis",Limitada — difícil ler em tela pequena; considerar bar chart agrupado como alternativa mobile,"Chart.js, Recharts, ECharts, D3.js, Highcharts, Nivo","Eixos com escalas diferentes sem normalizar; muitas séries sobrepostas; poucos eixos que parecem triviais; ordenação de eixos que cria forma enganosa"
sankey,"Fluxo entre categorias; de onde vem e para onde vai; redistribuição; migração entre estados",Nós (categorias) e links (fluxos com valor); dados de source → target → value,15-20 nós máximo por visualização; links demais viram espaguete visual,Labels em cada nó; tooltip nos links com source → target e valor; não depender de cor dos links,"Nós com cor distinta por categoria; links com opacidade 30-40%; cor do link herdada da source ou target; fundo branco",Limitada — precisa de largura; em mobile considerar versão simplificada ou tabela,"D3.js, ECharts, Plotly, Highcharts, Google Charts, AnyChart","Links cruzados demais sem organização; nós muito pequenos; labels ilegíveis; não mostrar valores nos links; usar para dados que não são fluxo"
waterfall,"Composição aditiva/subtrativa de um valor; bridge chart; breakdown de receita/custos; impacto de fatores",Valor inicial + incrementos positivos e negativos + total final; labels por segmento,"10-15 segmentos máximo; agrupar segmentos menores em 'Outros'",Cada segmento com valor numérico; cor verde/vermelho para positivo/negativo + label; total destacado,"Verde para incrementos positivos; vermelho para decrementos; azul ou cinza para totais/subtotais; linhas conectoras sutis",Moderada — funciona horizontalmente em mobile; labels precisam de espaço,"D3.js, Highcharts, ECharts, Plotly, ApexCharts, custom SVG","Não conectar segmentos visualmente; confundir positivo/negativo por cor; não mostrar total; barras floating sem contexto; não ordenar por importância"
histogram,"Distribuição de frequência de uma variável contínua; bell curve; outlier identification; data profiling",Variável contínua; dados agrupados em bins/intervalos; frequência por bin; bin width consistente,"20-30 bins máximo; ajustar bin width para revelar padrão sem noise",Labels nos eixos com unidades claras; tooltip com range do bin e contagem; overlay de curva normal se relevante,"Cor única para distribuição; cor secundária para overlay (média, mediana); destaque em outlier bins; fundo neutro",Moderada — funciona bem com bins largos; considerar density plot como alternativa,"D3.js, Plotly, ECharts, Highcharts, Chart.js (com plugin), Vega-Lite","Confundir com bar chart (histogram tem eixo X contínuo); bin width inadequado (muito largo esconde padrão, muito estreito cria noise); gaps entre barras (não devem ter)"
bubble,"3 variáveis em 2D — posição X, posição Y e tamanho do ponto; comparação multidimensional; portfolio analysis",2 variáveis numéricas para posição + 1 para tamanho do bubble; opcional cor como 4a dimensão,15-20 bubbles legíveis; overlap reduzido com transparência; labels nos maiores,"Labels nos bubbles maiores; tooltip com todas as dimensões; legenda de tamanho; não depender de tamanho como única informação","Opacidade 60% para ver sobreposição; cor por categoria; tamanho proporcional à área (não raio); fundo com grid sutil",Limitada — bubbles ficam minúsculos; considerar scatter simples ou tabela,"D3.js, Plotly, ECharts, Highcharts, Chart.js (com plugin), Vega-Lite","Escalar raio ao invés de área (exagera diferenças); overlap excessivo; labels cobrindo dados; muitas dimensões confusas; sem legenda de tamanho"
