section_name,position,purpose,key_elements,conversion_impact,word_count_range,visual_requirements,a_b_test_variants,mobile_priority
hero,"Topo — primeira seção visível sem scroll (above the fold)","Capturar atenção em 3-5 segundos; comunicar proposta de valor; gerar primeira ação","Headline (benefício principal); subheadline (como entrega o benefício); CTA primário; visual hero (imagem/vídeo/animação); social proof micro (logo bar ou métrica)","Crítico — 80% das decisões de bounce acontecem no hero; headline é o elemento #1 de conversão","Headline: 6-12 palavras; Sub: 15-25 palavras; CTA: 2-5 palavras","Imagem ou vídeo hero de alta qualidade; contraste CTA vs fundo; hierarquia visual clara; responsive (mobile-first); loading < 2.5s LCP","Headline A vs B; CTA text (Start Free vs Get Started); hero image vs video; com vs sem social proof bar; CTA color","P0 — Must be excellent on mobile; CTA acima do fold; imagem otimizada; touch target 48px+"
logo_bar,"Logo 1-2 — imediatamente após hero","Construir credibilidade instantânea; associar com marcas conhecidas; reduzir ansiedade de decisão","5-8 logos de clientes/parceiros; texto 'Trusted by' ou 'Used by'; logos em cinza (opacity 50-60%) para não competir com hero","Alto — aumenta confiança em 30-40%; valida que empresas reais usam o produto","5-15 palavras (apenas label como 'Trusted by 1000+ companies')","Logos em SVG monocromáticos; alinhamento horizontal; height consistente (24-40px); opacity 40-60%; carousel se muitos","Com vs sem contador; 'Trusted by' vs 'Used by' vs logos sem texto; 5 logos vs 8 logos; logos coloridos vs cinza","P1 — Pode ser scroll horizontal em mobile; logos menores; 4-5 logos visíveis"
value_proposition,"Posição 2-3 — após hero e logo bar","Explicar o QUE o produto faz e POR QUE importa; expandir o hero com detalhes","3-4 cards/colunas com ícone + título + descrição curta; ou layout de features com visual; headline da seção","Alto — transforma interesse em compreensão; 65% dos usuários scrollam até esta seção","Headline: 5-10 palavras; cada card: 20-40 palavras; total: 80-160 palavras","Ícones consistentes; grid de 3-4 colunas; espaçamento generoso; visual hierarchy clara; ícones ou ilustrações por feature","3 features vs 4 features; ícones vs ilustrações; cards vs lista; com vs sem visual lateral","P0 — Cards empilham verticalmente; ícones menores; texto legível; scroll natural"
how_it_works,"Posição 3-4 — após value proposition","Reduzir complexidade percebida; mostrar que é simples usar; criar confiança no processo","3-5 steps numerados; ícone ou ilustração por step; título + descrição curta; setas ou conectores entre steps","Médio-alto — reduz fricção mental; '3 steps' framing aumenta perceived simplicity em 27%","Headline: 5-8 palavras; cada step: 15-30 palavras; total: 60-150 palavras","Steps numerados com visual; layout horizontal (desktop) ou vertical (mobile); conectores entre steps; ícones ou screenshots","3 steps vs 5 steps; com vs sem screenshots; horizontal vs vertical; com vs sem vídeo demonstrativo","P0 — Layout vertical natural em mobile; steps claros; números grandes"
features_detail,"Posição 4-5 — seção de features expandida","Detalhar funcionalidades específicas para quem quer mais informação antes de converter","Alternating layout (texto + imagem); screenshot ou GIF por feature; título + descrição + bullet points; link 'saiba mais'","Médio — serve quem precisa de mais informação; não converte diretamente mas reduz objeções","Cada feature: 40-80 palavras; total: 200-500 palavras","Screenshots reais ou GIFs; layout alternado esquerda/direita; espaçamento generoso; lazy loading para imagens","Quantidade de features (3 vs 5 vs 7); GIF vs screenshot estático; com vs sem link para docs; expandable vs all visible","P1 — Stack vertical; imagens full-width; texto abaixo de cada imagem; lazy load"
social_proof,"Posição 5-6 — após features, antes de pricing","Validar decisão com evidências de outros usuários; reduzir risco percebido; criar FOMO positivo","Métricas impressionantes (users, countries, uptime); testimonials com foto e nome; case studies; ratings (G2, Capterra)","Muito alto — social proof aumenta conversão em 15-30%; é o #2 fator de decisão após proposta de valor","Cada testimonial: 30-60 palavras; métricas: 3-5 números; total: 100-250 palavras","Fotos reais de clientes; logos de empresas; star ratings; cards com quote marks; layout grid ou carousel","Testimonials vs case studies; foto vs sem foto; 3 vs 6 testimonials; com vs sem vídeo testimonial; named vs anonymous","P1 — Carousel horizontal; cards com swipe; fotos menores; 1 testimonial visível por vez"
pricing,"Posição 6-7 — tipicamente terço final da página","Apresentar opções de preço claras; facilitar decisão; highlight plano recomendado","2-4 planos lado a lado; features por plano; CTA por plano; destaque visual no recomendado; toggle mensal/anual; FAQ de pricing","Crítico — página de pricing é decision point; layout e framing impactam diretamente revenue","Cada plano: 40-80 palavras de features; total: 150-350 palavras","Cards com destaque no recomendado; toggle animado; checkmarks verdes; preço grande e claro; CTA button proeminente","Mensal vs anual toggle; 2 vs 3 vs 4 planos; features list vs comparison table; com vs sem trial; decoy pricing","P0 — Cards empilham ou carousel; CTA grande e claro; toggle no topo; scroll suave entre planos"
faq,"Posição 7-8 — após pricing, antes de CTA final","Eliminar objeções restantes; reduzir carga de suporte; SEO (rich snippets com FAQ schema)","8-12 perguntas em accordion; categorizado se muitas; search opcional; link para suporte","Médio — cada objeção eliminada aumenta probabilidade de conversão; reduz tickets de suporte em 20-30%","Cada resposta: 30-80 palavras; total: 300-800 palavras","Accordion com expand/collapse; ícone +/- ou chevron; espaçamento entre items; hover state; schema markup para SEO","Accordion vs tabs vs all-visible; 8 vs 12 perguntas; com vs sem search; categorizado vs lista única","P1 — Accordion funciona bem em mobile; toque para expandir; texto legível quando aberto"
testimonials_detailed,"Posição 5-7 — pode substituir ou complementar social proof","Histórias detalhadas de clientes com contexto e resultado; case study light; prova qualitativa","Citação longa + nome + cargo + empresa + foto + logo empresa; resultado quantificado; antes/depois opcional","Alto — testimonials detalhados com números são 45% mais convincentes que genéricos","Cada testimonial: 50-100 palavras; 3-6 testimonials por seção","Fotos reais (nunca stock); cards com aspas decorativas; layout carousel ou grid; video testimonial botão","Texto vs vídeo testimonial; cards vs full-width; com vs sem resultado quantificado; carousel vs grid","P1 — Cards full-width; swipe carousel; vídeo com play button claro; texto legível"
comparison,"Posição 5-7 — especialmente em mercados competitivos","Mostrar vantagem competitiva; facilitar avaliação; posicionar produto como escolha superior","Tabela comparativa (nosso produto vs competidores); check/X por feature; destaque na coluna do produto; fonte da comparação","Alto — 56% dos compradores B2B comparam antes de decidir; tabela bem feita acelera decisão","50-150 palavras de contexto + tabela visual","Tabela com sticky header; check verde / X vermelho; coluna do produto destacada; hover state por linha; responsive table","Competidores nomeados vs genéricos ('Others'); features mostradas; número de competidores; com vs sem pricing na comparação","P1 — Tabela horizontal scrollable ou cards empilhados; coluna fixa do produto; swipe para comparar"
guarantee,"Posição 7-8 — perto do CTA final","Eliminar risco percebido; reduzir ansiedade de compra; criar confiança para ação","Badge de garantia; texto claro da policy; prazo (30/60/90 dias); selos de segurança; certificações","Médio-alto — garantia de money-back aumenta conversão em 15-20% sem aumentar refunds significativamente","30-60 palavras","Badge ou shield icon; selo visual proeminente; texto claro e direto; pode combinar com selos de segurança (SSL, PCI)","30 vs 60 vs 90 dias; com vs sem badge visual; posição antes vs depois de pricing; texto curto vs detalhado","P1 — Badge visível; texto conciso; agrupado com selos de segurança"
stats_metrics,"Posição 2-4 — após hero ou value proposition","Impressionar com números; construir credibilidade quantitativa; criar senso de escala","3-4 números grandes com contexto (ex: '10K+ users'); animação de contagem; ícone por métrica","Médio-alto — números criam ancoragem psicológica; métricas de escala aumentam confiança","Cada métrica: 5-15 palavras de contexto; total: 20-60 palavras","Números grandes (36-48px); animação de count-up; ícones ao lado; layout horizontal; espaçamento generoso","3 vs 4 métricas; com vs sem animação; números exatos vs arredondados; com vs sem contexto textual","P0 — Números grandes e legíveis; grid de 2x2; animação suave; sem overload visual"
cta_final,"Penúltima seção — antes do footer","Última chance de conversão; recapitular benefício principal; criar urgência; chamada decisiva","Headline persuasiva; CTA primário grande; benefício ou garantia reforçado; visual de fundo impactante; urgência sutil","Crítico — CTA final captura 15-25% das conversões totais; quem chegou até aqui tem alto intent","Headline: 6-12 palavras; sub: 10-20 palavras; CTA: 2-5 palavras","Fundo contrastante (cor brand ou imagem); CTA botão grande; headline impactante; espaçamento generoso; sem distrações","CTA text variations; com vs sem countdown/urgência; fundo colorido vs imagem; com vs sem testimonial micro","P0 — CTA full-width; botão grande e claro; headline legível; sem scroll horizontal"
footer,"Bottom — última seção de toda página","Navegação secundária; informações legais; links úteis; SEO internal linking; contato","Logo; links organizados por categoria; social media icons; legal (termos, privacidade); newsletter signup opcional; contato","Baixo diretamente — mas footer ausente ou pobre reduz credibilidade; footer links ajudam SEO","50-150 palavras de links e info","Grid de colunas; logo no topo; links organizados; social icons; cores neutras; separação visual clara do conteúdo","Newsletter signup sim vs não; quantidade de colunas; com vs sem mapa do site; social icons posição","P1 — Accordion por categoria de links; logo menor; social icons proeminentes; info legal acessível"
