principle,description,importance,common_mistakes,validation_criteria,examples
simplicity,"Um logo eficaz é simples o suficiente para ser reconhecido instantaneamente e memorizado após poucas exposições. Complexidade excessiva dificulta reprodução e reduz impacto.",Crítica — logos simples têm 13% mais chance de reconhecimento imediato,"Adicionar detalhes desnecessários; usar mais de 3 cores; incluir tagline no mark principal; confundir simples com genérico","Reconhecível em menos de 3 segundos; funciona como favicon 16x16px; descrição verbal em uma frase; criança de 8 anos consegue desenhar de memória","Nike swoosh — uma curva; Apple — silhueta de maçã; Target — dois círculos concêntricos"
memorability,"O logo deve criar uma impressão duradoura que permite recall sem estímulo visual presente. Associação emocional fortalece memória.",Alta — brand recall direto impacta conversão e lealdade,"Ser genérico demais (ícone de globo; engrenagem); copiar tendências passageiras; não ter elemento diferenciador; mudar logo frequentemente","Teste de recall: 70%+ lembram após 3 exposições; elemento surpresa ou twist identificável; diferenciação clara dos competidores","FedEx — seta escondida; Amazon — seta de A a Z; Baskin-Robbins — 31 no negative space"
versatility,"O logo deve funcionar em qualquer meio, tamanho, cor e contexto — de bordado a billboard, de favicon a fachada.",Crítica — marca aparece em dezenas de touchpoints diferentes,"Projetar apenas para tela; ignorar versão monocromática; não testar em fundos variados; detalhes que somem em tamanhos pequenos","Funciona em PB; funciona invertido; legível em 12mm; reproduzível em bordado; funciona em fundo escuro e claro; versão responsive definida","Mastercard — funciona com e sem texto; Spotify — ícone escalável; Google — wordmark + G icon"
timelessness,"Evitar tendências visuais passageiras em favor de design que permanece relevante por décadas. Atualizações devem ser evoluções, não revoluções.",Alta — redesign frequente destrói brand equity e confunde consumidores,"Seguir trend do momento (glossy 2006; flat extremo 2015; gradiente 2018); usar efeitos que datam rapidamente; trocar logo a cada 2-3 anos","Ainda relevante após 10+ anos sem mudança; evoluções são sutis e reconhecíveis; não depende de efeito técnico específico (sombra; brilho; 3D)","Coca-Cola — script desde 1887; Shell — evolução gradual desde 1900; Mercedes — estrela de 3 pontas desde 1909"
appropriateness,"O design deve ser culturalmente apropriado para o público-alvo e visualmente adequado ao setor. Não precisa literalizar o que a empresa faz.",Alta — desalinhamento cultural ou setorial gera desconfiança imediata,"Logo infantil para empresa jurídica; usar símbolos com significado negativo em mercados-alvo; literal demais (dente para dentista); inadequado culturalmente","Pesquisa de público validada; teste cross-cultural se internacional; tom visual alinhado com brand personality; não ofende nenhum grupo demográfico","Apple — não mostra computador; Nike — não mostra tênis; Amazon — seta sugere sorriso e variedade, não caixa de papelão"
scalability,"O logo deve manter integridade visual e legibilidade desde 16px (favicon) até aplicações em grande escala (outdoor, fachada).",Crítica — logos aparecem em contextos de tamanho extremamente variado,"Traços finos que somem; detalhes internos que viram manchas; texto pequeno ilegível; não testar nos extremos de tamanho","Teste em 16px, 32px, 64px, 128px, 512px e 2000px+; versão simplificada para tamanhos menores; sem perda de reconhecimento em nenhum tamanho","Responsive logos da Disney (castelo completo → castelo simples → D); Apple (mesmo em qualquer tamanho); Nike (swoosh funciona em 12px)"
distinctiveness,"O logo deve ser único e diferenciável dos competidores diretos no mesmo campo visual (shelf, search results, app store).",Alta — confusão com competidores dilui brand equity e causa problemas legais,"Usar ícones genéricos do setor; cores idênticas aos competidores; formas muito comuns (círculo azul tech); não fazer audit competitivo","Distinguível dos top 10 competidores em silhueta; não confundível em thumbnail; registrável como trademark; único em busca de imagens reversa","Airbnb Bélo — símbolo único e proprietário; Slack — padrão de cores distinto; Tesla — T estilizado inconfundível"
color_strategy,"Cor não é decoração — é comunicação. A paleta do logo deve reforçar o posicionamento e funcionar antes em preto e branco.",Alta — cor influencia 85% das decisões de compra; é o elemento mais lembrado,"Escolher cor por gosto pessoal; usar cores demais (mais de 3); não definir códigos exatos; ignorar versão monocromática; não testar em daltonismo","Funciona em PB primeiro; máximo 3 cores; Pantone definido; hex/RGB/CMYK documentados; testado para deuteranopia e protanopia; contraste WCAG AA+","Tiffany Blue — cor proprietária registrada; Coca-Cola Red — reconhecimento instantâneo; UPS Brown — owning a color"
typography_choice,"A tipografia do wordmark ou lockup deve complementar o símbolo e comunicar a personalidade da marca. Custom ou modified é preferível.",Alta — tipografia errada pode contradizer toda a mensagem visual da marca,"Usar fontes gratuitas populares sem modificação (Montserrat default); kerning automático sem ajuste; misturar mais de 2 famílias; fonte ilegível em tamanhos pequenos","Kerning manual revisado; peso visual equilibrado com símbolo; legível em corpo 8pt; licença comercial válida; versão web disponível","Google — Product Sans custom; Airbnb — Cereal custom; Netflix — Bebas Neue modified; Spotify — Circular custom"
negative_space,"O uso inteligente de espaço negativo cria camadas de significado e torna o logo mais memorável e sofisticado.",Média-alta — quando bem executado é poderoso; quando forçado é confuso,"Forçar significado que não é natural; espaço negativo que só funciona em um tamanho; mensagem oculta ofensiva não intencional; complexidade excessiva","Significado adicional descoberto organicamente; funciona em todos os tamanhos; não compromete a leitura primária; complementa ao invés de competir","FedEx — seta entre E e x; NBC — pavão no espaço negativo; Carrefour — C no espaço entre setas; Guild of Food Writers — colher/pen"
balance_proportion,"Equilíbrio visual e proporções matemáticas criam harmonia que o cérebro percebe como 'correto' mesmo sem análise consciente.",Média-alta — proporções ruins causam desconforto visual subconsciente,"Símbolo e texto desproporcionais; elementos desalinhados opticamente; grid muito rígido que ignora correções ópticas; peso visual desigual","Alinhamento ao grid com correções ópticas aplicadas; proporção áurea ou grid modular como base; equilíbrio visual testado com squint test; peso visual distribuído","Apple — proporções baseadas em golden ratio; Twitter — círculos geométricos perfeitos; BP — grid de Fibonacci"
storytelling,"Todo logo deve contar a história da marca em um instante. O significado por trás do design cria conexão emocional duradoura.",Média — diferencial competitivo em mercados saturados; cria narrativa de PR,"Narrativa forçada que precisa de explicação; história que não conecta com público; backstory longa demais; significado que muda a cada versão","História contável em 30 segundos; público identifica ao menos 1 camada de significado; narrativa alinhada com valores da marca; funciona em PR e mídia","Amazon — smile + A-to-Z; Toblerone — urso na montanha; Pittsburgh Zoo — árvore é gorila e leão"
