style,description,characteristics,color_approach,typography_approach,industry_fit,complexity,scalability,examples,tools
wordmark,Logo baseado exclusivamente no nome da empresa em tipografia customizada,Tipografia única e memorável; sem símbolo gráfico separado; forte identidade verbal,Geralmente monocromático ou até 2 cores; alta legibilidade em qualquer fundo,Fonte custom ou heavily modified; kerning manual; peso visual equilibrado,"Tech, moda, mídia, editorial",Baixa a média,Excelente — legível de favicon a outdoor,"Google, Coca-Cola, FedEx, Disney, Canon",Illustrator; Glyphs; FontForge; Figma
lettermark,Monograma ou iniciais da marca como elemento principal,Compacto; 1-4 letras; funciona em espaços pequenos; forte reconhecimento,1-2 cores core; versão monocromática obrigatória; contraste alto,Tipografia geométrica ou serif clássica; letterforms customizados; ligaduras possíveis,"Corporativo, consultoria, governo, moda de luxo",Média,Excelente em tamanhos pequenos; ideal para app icons,"IBM, HBO, NASA, CNN, HP",Illustrator; Figma; Affinity Designer
pictorial,Ícone ou símbolo reconhecível que representa a marca,Símbolo figurativo identificável; funciona sozinho após brand awareness; memorável,Cores brand definidas; versão single-color obrigatória; paleta restrita a 2-3 cores,Sem tipografia no mark principal; wordmark separado para lockup,"Tech, social media, esportes, startups estabelecidas",Média a alta,Boa — requer simplificação para tamanhos menores,"Apple, Twitter/X, Target, Shell, Starbucks (atual)",Illustrator; Figma; Sketch
abstract,Forma geométrica não-figurativa que transmite conceito da marca,Forma única e proprietária; não representa objeto literal; transmite emoção ou valor,Gradientes permitidos com cautela; cores vibrantes; paleta de 2-4 cores,"Sem tipografia no mark; pode usar lettering auxiliar; peso visual equilibrado com o símbolo","Tech, telecom, energia, finanças, startups",Alta,Boa — formas simples escalam bem; evitar detalhes finos,"Pepsi, Adidas, Nike swoosh, Airbnb, BP",Illustrator; Figma; Blender para 3D concepts
mascot,Personagem ilustrado que representa a marca,Personagem com personalidade; pode ter variações de expressão; humaniza a marca,Paleta ampla permitida (4-6 cores); coerência entre variações; versão simplificada,Tipografia complementar; geralmente casual ou rounded; nunca compete com o mascot,"Alimentação, esportes, educação, entretenimento, infantil",Alta,Desafiadora — requer versão simplificada para tamanhos pequenos,"KFC Colonel, Michelin Man, Mailchimp Freddie, Duolingo Owl",Illustrator; Procreate; Photoshop; Character Animator
emblem,Texto integrado dentro de um símbolo ou badge,Forma contida (escudo; círculo; crest); texto e símbolo inseparáveis; tradição e autoridade,Cores clássicas; dourado/prata para premium; máximo 3 cores; versão monocromática,Tipografia serif ou slab-serif; uppercase comum; integrada ao contorno do emblema,"Governo, educação, automotivo, cervejarias, esportes",Alta,Limitada — perde legibilidade em tamanhos pequenos; precisa de versão simplificada,"Harley-Davidson, Starbucks (clássico), NFL, Harvard, BMW",Illustrator; Figma; CorelDRAW
combination,Wordmark + símbolo que funcionam juntos e separados,Versatilidade máxima; lockup horizontal e vertical; elementos independentes,Cores do símbolo e wordmark coordenadas; paleta 2-3 cores; versões mono,"Tipografia que complementa o símbolo; peso visual balanceado; espaçamento definido entre elementos","Universal — qualquer indústria; ideal para marcas em crescimento",Média,Excelente — componentes independentes cobrem todos os tamanhos,"Burger King, Lacoste, Doritos, Mastercard (com texto), Spotify",Illustrator; Figma; Sketch
dynamic,Logo com variações programáticas ou contextuais,Muda cor/forma/conteúdo por contexto; mantém DNA reconhecível; sistema, não peça única,Sistema de cores que permite variação; paleta base + variações contextuais,Tipografia consistente como âncora; elemento fixo em todas as variações,"Tech, mídia, cultura, startups inovadoras, eventos",Muito alta,Boa — sistema define regras para cada tamanho,"Google Doodles, MTV, Nordkyn, City of Melbourne",Illustrator; After Effects; código SVG/CSS; Figma com variants
responsive,Logo com versões otimizadas para cada breakpoint,Múltiplas versões progressivas (full → compact → icon); cada versão legível no tamanho alvo,Cores consistentes em todas as versões; simplificação cromática nas menores,Tipografia presente nas versões maiores; removida nas menores; hierarquia progressiva,"Digital-first brands, apps, e-commerce, SaaS",Média a alta,Nativa — projetado especificamente para multi-escala,"Responsive Logos (responsivelogos.co.uk), Disney (full → castle → D)",Figma; Illustrator; SVG otimizado
minimalist,Design reduzido ao essencial com máximo impacto,Formas simples; espaço negativo; sem ornamentos; cada elemento é intencional,Monocromático predominante; máximo 2 cores; preto funciona standalone,Tipografia clean sans-serif; peso light a regular; espaçamento generoso,"Tech, moda, arquitetura, design, luxo contemporâneo",Baixa,Excelente — simplicidade garante legibilidade em qualquer escala,"Apple, Nike, Muji, Uniqlo, Medium",Figma; Illustrator; vetores manuais
vintage,Estética retrô com texturas e elementos artesanais,Texturas; ornamentos clássicos; badges; ribbons; tipografia display; sensação nostálgica,Paletas terrosas ou muted; sépia; cores limitadas; efeito envelhecido,Tipografia serif display; script; slab-serif; lettering manual; all-caps com tracking,"Cervejarias, cafeterias, barbearias, moda heritage, alimentação artesanal",Alta,Limitada — detalhes se perdem; requer versão simplificada,"Jack Daniel's, Brooklyn Brewery, Levi's, Stumptown Coffee",Illustrator; Photoshop; Procreate; RetroSupply assets
geometric,Formas geométricas puras como base da identidade,Círculos; triângulos; hexágonos; grid estrito; proporções matemáticas; precision,Cores sólidas; sem gradientes (ou gradientes sutis); alto contraste; 2-3 cores,Tipografia geométrica (Futura; Avenir; Circular); consistência de estilo com o mark,"Tech, finanças, arquitetura, engenharia, consultoria",Média,Excelente — geometria pura mantém integridade em qualquer escala,"Mitsubishi, Chase, Audi, Mastercard, Olympics",Illustrator com grid; Figma com auto-layout; código SVG
gradient,Uso de gradientes como elemento central de identidade,Transições cromáticas suaves; sensação moderna e digital; profundidade visual,Gradientes 2-3 cores; direção consistente; versão flat obrigatória; cores vibrantes,Tipografia moderna sans-serif; peso medium a bold; branca sobre gradiente escuro ou vice-versa,"Tech, social media, apps, startups, entretenimento digital",Média,Moderada — gradientes podem perder definição em tamanhos muito pequenos; versão flat resolve,"Instagram, Firefox, Stripe, iTunes, Tidal",Figma; Illustrator; Sketch; CSS gradients
3d,Elementos tridimensionais com profundidade e perspectiva,Volume; sombras; reflexos; perspectiva; pode ser fotorrealista ou stylized; moderno,Cores com shading; highlights e shadows; paleta de 3-5 cores para dimensão,Tipografia pode ser 3D ou flat contrastando; evitar 3D na tipografia se mark já é 3D,"Games, entretenimento, tech premium, automotivo, esportes",Muito alta,Desafiadora — requer versão 2D flat para tamanhos menores e produção,"Blender logo, PlayStation, Xbox, Pixar, Chrome",Blender; Cinema 4D; Illustrator 3D; Figma (mockup only)
hand-drawn,Ilustração manual ou estilo sketch como identidade,Imperfeições intencionais; autenticidade; calor humano; unicidade; estilo pessoal,Paleta limitada; preto + 1-2 accent colors; funciona em monocromático,Lettering manual; caligrafia; imperfeições tipográficas intencionais; nunca fonte digital pura,"Alimentação artesanal, infantil, educação, criativos, ONGs, sustentabilidade",Média a alta,Moderada — manter espessura de traço adequada para redução,"Innocent Drinks, Ben & Jerry's, Mailchimp (estilo anterior), Etsy (early)",Procreate; iPad + Apple Pencil; Illustrator brush; Photoshop
