layout_name,structure,content_zones,best_for,max_text_words,visual_ratio,speaker_notes_guidance,animation_suggestion
title_slide,"Título centralizado + subtítulo + logo da empresa; fundo pode ser imagem com overlay","Zona central 60% para título; zona inferior 20% para subtítulo e autor; logo no canto superior ou inferior",Abertura da apresentação; primeira impressão; identidade visual forte,15,80% visual / 20% texto,"Apresentação pessoal; contexto do evento; agradecer pela presença; definir expectativa da audiência",Fade-in suave do título (0.5s); subtítulo aparece 0.3s depois; logo já visível
agenda_overview,"Lista numerada ou grid de tópicos; timeline visual opcional; indicador de posição atual","Título no topo 15%; lista de tópicos 70% centralizada; rodapé com timing estimado 15%",Segundo slide; orientar audiência sobre estrutura; servir como mapa de navegação,40,30% visual / 70% texto,"Explicar duração estimada de cada seção; indicar se haverá Q&A; mencionar materiais complementares",Itens aparecem um por um (build); highlight no item atual quando retornar a este slide
single_content,"Título + um bloco de conteúdo principal (texto, lista ou imagem); layout simples e direto","Título 15% topo; conteúdo principal 75% centro; rodapé ou page number 10%",Explicação de conceito único; ponto-chave que precisa de foco; declaração importante,50,40% visual / 60% texto ou 60% visual / 40% texto dependendo do conteúdo,Desenvolver o conceito em detalhes; dar exemplos práticos; conectar com experiência da audiência,Conteúdo principal com fade-in simples; evitar animações distrativas para slides de conteúdo denso
two_column,"Divisão vertical 50/50 ou 60/40; título acima; duas áreas de conteúdo independentes","Título 15% topo; coluna esquerda 42.5%; gap 5%; coluna direita 42.5%; rodapé 10%",Comparações lado a lado; antes/depois; prós e contras; problema vs solução,60,50% visual / 50% texto,"Explicar relação entre os dois lados; guiar leitura esquerda→direita; destacar diferenças-chave",Coluna esquerda aparece primeiro; coluna direita 0.5s depois; ou ambas simultâneas se comparação direta
comparison_table,"Tabela ou grid comparativo com headers; pode usar check/X para features; cores para destaque","Título 15%; headers de coluna 10%; grid de comparação 65%; legenda ou fonte 10%",Comparação de produtos; feature matrix; análise competitiva; opções de plano/pricing,80,30% visual / 70% texto,"Destacar os differentiators-chave; explicar nuances que a tabela não captura; recomendar opção se aplicável",Linhas aparecem progressivamente; ou highlight se move pela tabela seguindo a narrativa
quote_highlight,"Citação em destaque com aspas grandes; autor e cargo; fundo visual ou cor sólida","Aspas decorativas 10%; citação centralizada 50%; autor/cargo 15%; visual de fundo ou lateral 25%",Insight de cliente ou líder; dato impactante como frase; credibilidade por autoridade; pausa narrativa,30,70% visual / 30% texto,"Contextualizar quem é o autor e por que é relevante; conectar a citação com o argumento; dar pausa dramática antes de revelar",Aspas aparecem primeiro com scale-in; texto revela palavra por palavra ou linha por linha; autor no final
data_chart,"Gráfico ou dashboard como elemento central; título descritivo; callout no insight principal","Título 15%; gráfico 65%; callout/insight box 10%; fonte dos dados 10%",Apresentação de métricas; tendências; resultados; evidências quantitativas; crescimento,25,75% visual / 25% texto,"Não ler o gráfico — interpretar o insight; explicar o 'so what'; comparar com benchmark; antecipar perguntas sobre metodologia",Gráfico com build animation (barras crescendo; linhas desenhando); callout aparece por último com highlight
image_fullbleed,"Imagem de alta qualidade ocupando tela inteira; texto mínimo com overlay ou barra lateral","Imagem 100% ou 85%; texto overlay em zona segura 30% (com fundo semi-transparente); logo discreto",Impacto emocional; showcase de produto; fotografia; criar mood; transição entre seções,10,95% visual / 5% texto,"A imagem deve falar por si — adicionar contexto verbal; explicar relevância; criar conexão emocional",Fade-in lento da imagem (1s); texto aparece com delay de 0.5s; ken burns sutil opcional
split_content,"Divisão horizontal ou vertical 50/50; um lado visual, outro texto; hero image + explicação","Imagem/visual 50% (esquerda ou topo); texto/bullets 50% (direita ou baixo); título integrado no lado texto",Storytelling visual; case study; feature com screenshot; explicação com contexto visual,45,50% visual / 50% texto,"Apontar para elementos na imagem; explicar o que não é óbvio; conectar visual com argumento; dar contexto de uso real",Lado visual aparece primeiro; lado texto com build de bullets; ou simultâneo com fade
timeline_process,"Linha do tempo horizontal ou vertical; marcos numerados; ícones por etapa; progresso visual","Título 15%; timeline visual 70% (3-7 etapas); descrições breves por etapa; indicador de status atual",Roadmaps; processos step-by-step; história da empresa; plano de projeto; jornada do cliente,60,60% visual / 40% texto,"Detalhar cada etapa na fala; explicar duração e dependências; destacar onde estamos agora; antecipar próximos passos",Steps aparecem progressivamente da esquerda para direita (ou de cima para baixo); step atual com highlight/pulse
team_grid,"Grid de fotos com nome e cargo; layout de cards; pode incluir bio curta ou link","Título 15%; grid de cards 75% (3-6 pessoas por slide); cada card com foto + nome + cargo + opcional bio",Apresentar equipe; stakeholders; speakers; conselho; liderança,40,70% visual / 30% texto,"Apresentar cada pessoa brevemente; destacar expertise relevante; conectar competência com projeto; humanizar a equipe",Cards aparecem com stagger (0.2s entre cada); hover effect no card sendo discutido; ou todos simultâneos
pricing_plans,"Cards de planos lado a lado (2-4); features list; CTA por plano; destaque no plano recomendado","Título 10%; cards de planos 80% (largura igual; recomendado com destaque visual); CTA buttons 10%",Apresentação comercial; SaaS pricing; opções de serviço; proposta com opções,70,40% visual / 60% texto,"Começar pelo plano intermediário (ancorage); explicar valor, não features; justificar diferença de preço; recomendar claramente",Cards aparecem simultaneamente; plano recomendado com scale-up sutil (1.05x) e border/shadow destaque
cta_action,"Call-to-action claro e central; benefício principal; um botão ou próximo passo; urgência visual","Headline impactante 30%; benefício/value prop 25%; CTA button/instrução 20%; visual de suporte 25%",Fechar venda; pedir ação específica; converter; call-to-meeting; signup; download,20,60% visual / 40% texto,"Resumir o valor em uma frase; criar senso de oportunidade; ser específico sobre o próximo passo; facilitar a ação imediata",Build rápido e energético; headline com scale; CTA button com pulse animation; cor de destaque no botão
thank_you,"Agradecimento + informações de contato + QR code opcional; visual limpo e memorable","Agradecimento centralizado 40%; dados de contato 30% (email, linkedin, site); QR code 15%; logo 15%",Encerramento; deixar contato; QR code para material; call-to-connect,15,70% visual / 30% texto,"Agradecer genuinamente; recapitular o ponto mais importante; abrir para perguntas; indicar como entrar em contato",Fade-in elegante; QR code com scale-in; contato aparece por último; transição suave do slide anterior
section_divider,"Slide de transição entre seções; número + título da seção; visual marcante; pausa narrativa","Número da seção 20% (grande, decorativo); título da seção 40% (centralizado); visual/cor de fundo 100%",Separar blocos temáticos; dar pausa mental; reorientar audiência; criar ritmo na apresentação,8,90% visual / 10% texto,"Usar este momento para pausa; recapitular seção anterior brevemente; introduzir o que vem a seguir; beber água",Transição marcante (wipe, morph, ou fade com cor); número com scale-in; título com fade delay
